"Composer","DOB"
"Wolfgang Fortner","1907"
"Johann Philipp Förtsch","1652"
"Lukas Foss","1922"
"François de Fossa","1775"
"David Foster","1949"
"Stephen Foster","1826"
"Pierre-Claude Foucquet","1694"
"John Foulds","1880"
"Frederick A. Fox","1931"
"Jean Françaix","1912"
"Petronio Franceschini","1651"
"Alberto Franchetti","1860"
"Carlo Franchi","1743"
"Auguste Franchomme","1808"
"Jan Francisci","1691"
"César Franck","1822"
"Eduard Franck","1817"
"Johann Wolfgang Franck","1644"
"Melchior Franck","1579"
"Richard Franck","1858"
"Hernando Franco","1532"
"François Francoeur","1698"
"Massimiliano Frani","1967"
"Gabriela Lena Frank","1972"
"Benjamin Frankel","1906"
"Ferdinand Fränzl","1767"
"Ignaz Fränzl","1736"
"Harry Lawrence Freeman","1869"
"Luís de Freitas Branco","1890"
"Johan Henrik Freithoff","1713"
"Girolamo Frescobaldi","1583"
"Jehan Fresneau","1468"
"Peter Racine Fricker","1920"
"Géza Frid","1904"
"Rudolf Friml","1879"
"Johannes Fritsch","1941"
"Johann Jakob Froberger","1616"
"Johannes Frederik Fröhlich","1806"
"David Froom","1951"
"William Henry Fry","1813"
"Walter Frye","1443"
"Johann Nepomuk Fuchs","1842"
"Kenneth Fuchs","1956"
"Robert Fuchs","1847"
"Julius Fučík","1872"
"Miguel de Fuenllana","1553"
"Adam von Fulda","1445"
"Friedrich Funcke","1642"
"Joseph Funk","1778"
"Beat Furrer","1954"
"Wilhelm Furtwängler","1886"
"Anton Bernhard Fürstenau","1792"
"Johann Joseph Fux","1660"
"Pierre Gabaye","1930"
"Charles H. Gabriel","1856"
"Thomas Gabriel","1957"
"Andrea Gabrieli","1532"
"Giovanni Gabrieli","1557"
"Domenico Gabrielli","1651"
"Ossip Gabrilowitsch","1878"
"Axel Gade","1860"
"Jacob Gade","1879"
"Niels Gade","1817"
"Franchinus Gaffurius","1451"
"Marco da Gagliano","1582"
"Wenzel Gährich","1794"
"Bernhard Gál","1971"
"Hans Gál","1890"
"Cristóbal Galán","1630"
"Nancy Galbraith","1951"
"Michelagnolo Galilei","1575"
"Vincenzo Galilei","1520"
"Blas Galindo","1910"
"Jack Gallagher","1947"
"Johann Ernst Galliard","1687"
"Jacques Gallot","1625"
"Jacobus Gallus","1550"
"Baldassare Galuppi","1706"
"German Galynin","1922"
"Elisabetta de Gambarini","1731"
"John Gamble","1641"
"Michael Gandolfi","1956"
"Kyle Gann","1955"
"Louis Ganne","1862"
"Gara Garayev","1918"
"J. Ryan Garber","1973"
"José Maurício Nunes Garcia","1767"
"Antón García Abril","1933"
"Carlos Gardel","1887"
"Henry Balfour Gardiner","1877"
"John Gardner","1917"
"Zoltán Gárdonyi","1906"
"Zsolt Gárdonyi","1946"
"Giuseppe Gariboldi","1833"
"Carlo Giorgio Garofalo","1886"
"John Garth","1721"
"Mathieu Gascongne","1517"
"Francesco Gasparini","1661"
"Quirino Gasparini","1721"
"Florian Leopold Gassmann","1729"
"Stanislao Gastaldon","1861"
"Giovanni Giacomo Gastoldi","1554"
"Crawford Gates","1921"
"Luigi Gatti","1740"
"Philippe Gaubert","1879"
"Denis Gaultier","1603"
"Ennemond Gaultier","1575"
"Jacques Gaultier","1592"
"Pierre Gaultier","1599"
"Pierre Gaveaux","1761"
"Daniel E. Gawthrop","1949"
"Noel Gay","1898"
"Giuseppe Gazzaniga","1743"
"Georg Gebel","1709"
"Christian Geist","1650"
"Michael L. Geller","1937"
"Francesco Geminiani","1687"
"Pietro Generali","1773"
"Augusto Gentile","1891"
"Harald Genzmer","1909"
"Jean-Nicolas Geoffroy","1633"
"Steven Gerber","1948"
"Roberto Gerhard","1896"
"Hans Gerle","1500"
"Edward German","1862"
"Friedrich Gernsheim","1839"
"Jhan Gero","1540"
"Karl Ludwig Gerok","1906"
"George Gershwin","1898"
"Georg Gerson","1790"
"Charles-Hubert Gervais","1671"
"Claude Gervaise","1540"
"Bartholomäus Gesius","1562"
"Carlo Gesualdo","1566"
"Gordon Getty","1934"
"Frans Geysen","1936"
"Giorgio Federico Ghedini","1892"
"Géry de Ghersem","1573"
"Johannes Ghiselin","1491"
"Michael Giacchino","1967"
"Geminiano Giacomelli","1692"
"Vittorio Giannini","1903"
"Giazotto","1910"
"Christopher Gibbons","1615"
"Ellis Gibbons","1573"
"Orlando Gibbons","1583"
"Armstrong Gibbs","1889"
"Joseph Gibbs","1699"
"Miriam Gideon","1906"
"Nicolas Gigault","1627"
"Eugène Gigout","1844"
"Angelo Gilardino","1941"
"Jean Gilbert","1879"
"William Gilchrist","1846"
"Jean Gilles","1668"
"Don Gillis","1912"
"Patrick Gilmore","1829"
"Jan van Gilse","1881"
"Paul Gilson","1865"
"Alberto Ginastera","1916"
"Giuseppe Giordani","1751"
"Tommaso Giordani","1738"
"Umberto Giordano","1867"
"Giovanni Giorgi","1719"
"Ruth Gipps","1921"
"Janice Giteck","1946"
"Mauro Giuliani","1781"
"Lodovico Giustini","1685"
"Simon Gjoni","1926"
"Detlev Glanert","1960"
"Peggy Glanville-Hicks","1912"
"Louis Glass","1864"
"Philip Glass","1937"
"Alexander Glazunov","1865"
"Frederick Grant Gleason","1848"
"Jackie Gleason","1916"
"Reinhold Glière","1874"
"Mikhail Glinka","1804"
"Vinko Globokar","1934"
"Andrew Glover","1962"
"Christoph Willibald Gluck","1714"
"Mikhail Gnessin","1883"
"Pietro Gnocchi","1689"
"Henri Gobbi","1842"
"Benjamin Godard","1849"
"Félix Godefroid","1818"
"Leopold Godowsky","1870"
"Alexander Godunov","1949"
"Roger Goeb","1914"
"Alexander Goedicke","1877"
"Alexander Goehr","1932"
"Lucien Goethals","1931"
"Hermann Goetz","1840"
"Walter Goetze","1883"
"Karel Goeyvaerts","1923"
"Murray Gold","1969"
"Johann Gottlieb Goldberg","1727"
"Alexander Goldenweiser","1875"
"Edwin Franko Goldman","1878"
"Karl Goldmark","1830"
"Rubin Goldmark","1872"
"Berthold Goldschmidt","1903"
"Otto Goldschmidt","1829"
"Jerry Goldsmith","1929"
"Osvaldo Golijov","1960"
"Jani Golob","1948"
"Evgeny Golubev","1910"
"Nicolas Gombert","1495"
"Julia Gomelskaya","1964"
"Antônio Carlos Gomes","1836"
"Mikołaj Gomółka","1535"
"Fernando González Casellas","1925"
"Howard Goodall","1958"
"Isador Goodman","1909"
"Ron Goodwin","1925"
"Eugene Aynsley Goossens","1893"
"Grzegorz Gerwazy Gorczycki","1665"
"Michael Gordon","1956"
"Henryk Górecki","1933"
"John Goss","1800"
"François Joseph Gossec","1734"
"Ralf Gothóni","1946"
"Jakov Gotovac","1895"
"Louis Moreau Gottschalk","1829"
"Clytus Gottwald","1925"
"Claude Goudimel","1514"
"Glenn Gould","1932"
"Morton Gould","1913"
"Charles Gounod","1818"
"Louis Théodore Gouvy","1819"
"Jacques de Gouy","1610"
"Johann Grabbe","1585"
"Louis Grabu","1665"
"Kraig Grady","1952"
"Paul Graener","1872"
"Christian Ernst Graf","1723"
"Friedrich Hartmann Graf","1727"
"Filippo Gragnani","1768"
"Percy Grainger","1882"
"Ron Grainer","1922"
"Enrique Granados","1867"
"Giovanni Battista Granata","1620"
"Alessandro Grandi","1586"
"Philip Grange","1956"
"Bruno Granichstaedten","1879"
"Donald Grantham","1947"
"Stéphane Grappelli","1908"
"Carl Heinrich Graun","1704"
"Johann Gottlieb Graun","1702"
"Christoph Graupner","1683"
"Caterina Benedicta Grazianini","1705"
"Gaetano Greco","1657"
"Vicente Greco","1888"
"Adolph Green","1914"
"Jay Greenberg","1991"
"Maurice Greene","1696"
"Harry Gregson-Williams","1961"
"Eduard Grell","1800"
"Nicolas Grenon","1375"
"Mark Gresham","1956"
"Antoine-Frédéric Gresnick","1755"
"Alexander Gretchaninov","1864"
"André Grétry","1741"
"Lucile Grétry","1772"
"Geoffrey Grey","1934"
"Edvard Grieg","1843"
"Peter Griesbacher","1864"
"Charles Griffes","1884"
"Nicolas de Grigny","1672"
"Franz Grill","1756"
"Giovanni Battista Grillo","1622"
"Maria Margherita Grimani","1700"
"Albert Grisar","1808"
"Gérard Grisey","1946"
"Ferde Grofé","1892"
"Olaus Andreas Grøndahl","1847"
"Cor de Groot","1914"
"Carlo Grossi","1634"
"Estienne Grossin","1418"
"Dietrich Ewald von Grotthuß","1751"
"Eivind Groven","1901"
"Franz Xaver Gruber","1787"
"Heinz Karl Gruber","1943"
"Louis Gruenberg","1884"
"Gioseffo Guami","1542"
"Camargo Guarnieri","1907"
"Carlos Guastavino","1912"
"Sofia Gubaidulina","1931"
"Pierre Guédron","1570"
"Francisco Guerau","1649"
"Francisco Guerrero","1528"
"Francisco Guerrero Marín","1951"
"Pietro Alessandro Guglielmi","1728"
"Edward Guglielmino","1983"
"Jean-Adam Guilain","1680"
"Louis-Gabriel Guillemain","1705"
"Jean Guillou","1930"
"Alexandre Guilmant","1837"
"Ernest Guiraud","1837"
"Friedrich Gulda","1930"
"Adam Gumpelzhaimer","1559"
"Gustav Gunsenheimer","1934"
"Jesús Guridi","1886"
"Cornelius Gurlitt","1820"
"Manfred Gurlitt","1890"
"Ivor Gurney","1890"
"Mark Gustavson","1959"
"Juan Gutiérrez de Padilla","1590"
"Adolphe Gutmann","1819"
"Adalbert Gyrowetz","1763"
"Johannes Haarklou","1847"
"Georg Friedrich Haas","1953"
"Joseph Haas","1879"
"Pavel Haas","1899"
"Alois Hába","1893"
"Carolus Hacquart","1640"
"Henry Kimball Hadley","1871"
"Johann Christian Friedrich Hæffner","1759"
"Richard Hageman","1881"
"Bernhard Joachim Hagen","1720"
"Daron Hagen","1961"
"Konrad Hagius","1550"
"Reynaldo Hahn","1874"
"Jakob Haibel","1762"
"Alexei Haieff","1914"
"Adolphus Hailstork","1941"
"Uzeyir Hajibeyov","1885"
"Darko Hajsek","1959"
"Kimmo Hakola","1958"
"Fromental Halévy","1799"
"Cristóbal Halffter","1930"
"Ernesto Halffter","1905"
"Roger Lee Hall","1942"
"Sylvia Hallett","1953"
"Johan Halvorsen","1864"
"Bengt Hambraeus","1928"
"Marc-André Hamelin","1961"
"Gordon Hamilton","1982"
"Iain Hamilton","1922"
"Marvin Hamlisch","1944"
"Emilie Hammarskjöld","1821"
"Franz Xaver Hammer","1741"
"Jan Hammer","1948"
"Andreas Hammerschmidt","1611"
"Albert Hammond","1942"
"George Frideric Handel","1685"
"W. C. Handy","1873"
"Johann Nicolaus Hanff","1663"
"Ronald Hanmer","1917"
"James Hannigan","1971"
"Charles-Louis Hanon","1819"
"Peter Hänsel","1770"
"Howard Hanson","1896"
"Kazuko Hara","1935"
"John Harbison","1938"
"Mike Harding","1944"
"Miina Härma","1864"
"Don Harper","1921"
"Richard Harris","1968"
"Robert A. Harris","1938"
"Roy Harris","1898"
"Victor Harris","1869"
"Julius Harrison","1885"
"Lou Harrison","1917"
"John Hartford","1937"
"Stephen Hartke","1952"
"Walter Hartley","1927"
"Herbert Hamilton Harty","1879"
"Johan Peter Emilius Hartmann","1805"
"Karl Amadeus Hartmann","1905"
"Jonathan Harvey","1939"
"Richard Harvey","1953"
"Basil Harwood","1859"
"Johann Adolph Hasse","1699"
"Peter Hasse","1585"
"Hans Leo Hassler","1564"
"Dismas Hataš","1724"
"Josef Matthias Hauer","1883"
"Moritz Hauptmann","1792"
"Siegmund von Hausegger","1872"
"William Hawte","1430"
"Patrick Hawes","1958"
"Joseph Haydn","1732"
"Michael Haydn","1737"
"Philip Hayes","1738"
"William Hayes","1708"
"Hayne van Ghizeghem","1445"
"Ronnie Hazlehurst","1928"
"Hubert Klyne Headley","1906"
"John Hebden","1712"
"Jake Heggie","1961"
"Johann David Heinichen","1683"
"Paavo Heininen","1938"
"Anthony Philip Heinrich","1781"
"Peter Arnold Heise","1830"
"Walter Hekster","1937"
"Pieter Hellendaal","1721"
"Barbara Heller","1936"
"Stephen Heller","1813"
"Lupus Hellinck","1494"
"Robert Helps","1928"
"Victor Hely-Hutchinson","1901"
"Fletcher Henderson","1897"
"Moya Henderson","1941"
"Hans Henkemans","1913"
"Fini Henriques","1867"
"Henry VIII of England","1491"
"Pierre Henry","1927"
"Adolf von Henselt","1814"
"Hans Werner Henze","1926"
"Victor Herbert","1859"
"Johann Andreas Herbst","1588"
"Ferdinand Hérold","1791"
"Bernard Herrmann","1911"
"Philippe Hersant","1948"
"Michael Hersch","1971"
"William Herschel","1738"
"Johann Wilhelm Hertel","1727"
"Hervé","1825"
"Heinrich von Herzogenberg","1843"
"Hans-Joachim Hespos","1938"
"Ernst Hess","1912"
"Nigel Hess","1953"
"Kurt Hessenberg","1908"
"Jacques Hétu","1938"
"Richard Heuberger","1850"
"James Hewitt","1770"
"Juan Hidalgo de Polanco","1614"
"Frigyes Hidas","1928"
"Hans Uwe Hielscher","1945"
"Jennifer Higdon","1962"
"Hildegard of Bingen","1098"
"Henry Hiles","1826"
"Alfred Hill","1870"
"Edward Burlingame Hill","1872"
"Ferdinand Hiller","1811"
"Johann Adam Hiller","1728"
"Lejaren Hiller","1924"
"Friedrich Heinrich Himmel","1765"
"Paul Hindemith","1895"
"Matthew Hindson","1968"
"Alistair Hinton","1950"
"Vladimír Hirsch","1954"
"Joe Hisaishi","1950"
"Franz Hitz","1828"
"Emil Hlobil","1901"
"Christopher Hobbs","1950"
"Gilad Hochman","1982"
"Alun Hoddinott","1929"
"Léonard de Hodémont","1575"
"Andreas Hofer","1629"
"Paul Hofhaimer","1459"
"Ernst Theodor Amadeus Hoffmann","1776"
"Franz Anton Hoffmeister","1754"
"Roman Hoffstetter","1742"
"Leopold Hofmann","1738"
"Lee Hoiby","1926"
"Anthony Holborne","1545"
"Joseph Holbrooke","1878"
"Theodore Holland","1878"
"Karl Höller","1907"
"York Höller","1944"
"Alan Holley","1954"
"Heinz Holliger","1939"
"Robin Holloway","1943"
"Vagn Holmboe","1909"
"Alfred Holmes","1837"
"Augusta Holmès","1847"
"Henry Holmes","1839"
"John Holmes","1599"
"William Henry Holmes","1812"
"Gustav Holst","1874"
"Simeon ten Holt","1923"
"Simon Holt","1958"
"Bo Holten","1948"
"Ignaz Holzbauer","1711"
"Adriana Hölszky","1953"
"Gottfried August Homilius","1714"
"Sidney Homer","1864"
"Arthur Honegger","1892"
"James Hook","1746"
"Bill Hopkins","1943"
"Hal Hopson","1933"
"James Horner","1953"
"William Horwood","1459"
"Toshio Hosokawa","1955"
"Mansoor Hosseini","1967"
"John Hothby","1430"
"Nicolas Hotman","1610"
"Jacques-Martin Hotteterre","1674"
"Stephen Hough","1961"
"Joachim van den Hove","1567"
"Alan Hovhaness","1911"
"Joseph E. Howard","1867"
"Julia Ward Howe","1819"
"Herbert Howells","1892"
"Leonid Hrabovsky","1935"
"Huang Ruo","1976"
"Jenő Hubay","1858"
"Jean Hubeau","1917"
"Hans Huber","1852"
"Jiří Hudec","1923"
"Robert Hughes","1912"
"Johannes Alfred Hultman","1861"
"Tobias Hume","1569"
"Pelham Humfrey","1647"
"Bertold Hummel","1925"
"Ferdinand Hummel","1855"
"Franz Hummel","1939"
"Johann Nepomuk Hummel","1778"
"Joseph Friedrich Hummel","1841"
"Engelbert Humperdinck","1854"
"Richard Hundley","1931"
"Jean Huré","1877"
"Conrad Friedrich Hurlebusch","1691"
"William Hurlstone","1876"
"Lukas Hurník","1967"
"Karel Husa","1921"
"Henry Holden Huss","1862"
"Jenő Huszka","1875"
"Anselm Hüttenbrenner","1794"
"Albert Huybrechts","1899"
"Constantijn Huygens","1596"
"Ketil Hvoslef","1939"
"Jason Kao Hwang","1957"
"Richard Hygons","1435"
"Tyzen Hsiao","1938"
"Jacques Ibert","1890"
"Akira Ifukube","1916"
"Ilayaraaja","1943"
"Márton Illés","1975"
"Andrew Imbrie","1921"
"Sigismondo d'India","1582"
"Vincent d'Indy","1851"
"Marc'Antonio Ingegneri","1535"
"Mikhail Ippolitov-Ivanov","1859"
"John Ireland","1879"
"Juan Francés de Iribarren","1699"
"Miguel de Irízar","1635"
"Heinrich Isaac","1450"
"Sigurd Islandsmoen","1881"
"Nicolas Isouard","1775"
"Jānis Ivanovs","1906"
"Volodymyr Ivasiuk","1949"
"Charles Ives","1874"
"Simon Ives","1600"
"Jean Eichelberger Ivey","1923"
"Steve Jablonsky","1970"
"Francis Jackson","1917"
"Tony Jackson","1876"
"Jackson of Exeter","1730"
"Gordon Jacob","1895"
"Frederick Jacobi","1891"
"Victor Jacobi","1883"
"Jens Bjerre Jacobsen","1903"
"Jacquet de Mantua","1483"
"Salomon Jadassohn","1831"
"Hyacinthe Jadin","1776"
"Louis-Emmanuel Jadin","1768"
"Alfred Jaëll","1832"
"Stephen Jaffe","1954"
"Edward Jakobowski","1858"
"Prenkë Jakova","1917"
"Philip James","1890"
"Jan z Lublina","1537"
"Leoš Janáček","1852"
"Clément Janequin","1485"
"Johann Gottlieb Janitsch","1708"
"Leopold Jansa","1795"
"Guus Janssen","1951"
"Peter Janssens","1934"
"Antonius Janue","1460"
"Jean Japart","1474"
"Armas Järnefelt","1869"
"Georg Jarno","1868"
"Ivan Mane Jarnović","1747"
"Jean Michel Jarre","1948"
"Maurice Jarre","1924"
"Michael Jarrell","1958"
"Adam Jarzębski","1590"
"Maurice Jaubert","1900"
"Harris Jayaraj","1975"
"Johannes Jeep","1581"
"George Jeffreys","1610"
"Sándor Jemnitz","1890"
"John Jenkins","1592"
"Karl Jenkins","1944"
"Davorin Jenko","1835"
"Thomas Jennefelt","1954"
"Gustav Jenner","1865"
"Leon Jessel","1871"
"Willem Jeths","1959"
"Maistre Jhan","1485"
"František Jiránek","1698"
"Joseph Joachim","1831"
"John IV of Portugal","1603"
"Antônio Carlos Jobim","1927"
"Gunnar Johansen","1906"
"Alan John","1958"
"David C. Johnson","1940"
"David Earle Johnson","1998"
"David N. Johnson","1922"
"John Johnson","1579"
"Laurie Johnson","1927"
"Robert Johnson","1583"
"Tom Johnson","1939"
"Ben Johnston","1926"
"Betsy Jolas","1926"
"André Jolivet","1905"
"Niccolò Jommelli","1714"
"Jens Joneleit","1968"
"Daniel Jones","1912"
"Edwin Arthur Jones","1853"
"Robert Jones","1577"
"Ron Jones","1954"
"Samuel Jones","1935"
"Joseph Jongen","1873"
"Scott Joplin","1868"
"Mihail Jora","1891"
"Victoria Jordanova","1952"
"Jens Josef","1967"
"Bradley Joseph","1965"
"Wilfred Josephs","1927"
"Josquin des Prez","1450"
"John Joubert","1927"
"Gilles Joye","1424"
"Hans Judenkünig","1445"
"Gilles Jullien","1651"
"Louis Antoine Jullien","1812"
"Junkie XL","1967"
"Paul Juon","1872"
"Dmitri Kabalevsky","1904"
"Miloslav Kabeláč","1908"
"Jeronimas Kačinskas","1907"
"Mauricio Kagel","1931"
"Yuki Kajiura","1965"
"Vasily Kalinnikov","1866"
"Johannes Kalitzke","1959"
"Jan Kalivoda","1801"
"Friedrich Kalkbrenner","1785"
"Emmerich Kálmán","1882"
"Manolis Kalomiris","1883"
"Antonín Kammel","1730"
"Shigeru Kan-no","1959"
"Giya Kancheli","1935"
"John Kander","1927"
"Yoko Kanno","1964"
"Božidar Kantušer","1921"
"Artur Kapp","1878"
"Eugen Kapp","1908"
"Vítězslava Kaprálová","1915"
"Johannes Hieronymus Kapsberger","1580"
"Nikolai Kapustin","1937"
"Sigfrid Karg-Elert","1877"
"Mieczysław Karłowicz","1876"
"Kjell Mørk Karlsen","1947"
"Jurgis Karnavičius","1884"
"Laura Karpman","1959"
"Leonard Kastle","1929"
"Jean-Georges Kastner","1810"
"Elena Kats-Chernin","1957"
"Rudolf Kattnigg","1895"
"Georgy Catoire","1861"
"Georg Katzer","1935"
"Hugo Kauder","1888"
"Georg Friedrich Kauffmann","1679"
"Hiba Kawas","1972"
"Yakov Kazyansky","1948"
"Reinhard Keiser","1674"
"David Kellner","1670"
"Johann Christoph Kellner","1736"
"Johann Peter Kellner","1705"
"Hugh Kellyk","1480"
"Joannes Florentius a Kempis","1635"
"Nicolaus à Kempis","1600"
"Martin Kennedy","1978"
"Abraham van den Kerckhoven","1618"
"Jacobus de Kerle","1531"
"Johann Caspar Kerll","1627"
"Jerome Kern","1885"
"Aaron Jay Kernis","1960"
"Albert Ketèlbey","1875"
"Tristan Keuris","1946"
"Aram Khachaturian","1903"
"Rami Khalife","1981"
"Ivan Khandoshkin","1747"
"Yuri Khanon","1965"
"Tikhon Khrennikov","1913"
"Aldine Silliman Kieffer","1840"
"Friedrich Kiel","1821"
"Wilhelm Kienzl","1857"
"Wojciech Kilar","1932"
"Wilhelm Killmayer","1927"
"Earl Kim","1920"
"Johann Erasmus Kindermann","1616"
"Carole King","1942"
"Karl King","1891"
"George Kirbye","1565"
"Leon Kirchner","1919"
"Theodor Kirchner","1823"
"Volker David Kirchner","1942"
"Johann Philipp Kirnberger","1721"
"Don Kirshner","1934"
"Caspar Kittel","1603"
"Johann Christian Kittel","1732"
"Uuno Klami","1900"
"Giselher Klebe","1925"
"Leonhard Kleber","1495"
"Bernhard Klein","1793"
"Richard Rudolf Klein","1921"
"Julian Klemczyński","1807"
"Julius Klengel","1859"
"Paul Klengel","1854"
"Josef Klička","1855"
"Karl Emanuel Klitzsch","1812"
"Friedrich Klose","1862"
"August Klughardt","1847"
"Alexander Knaifel","1943"
"Justin Heinrich Knecht","1752"
"Andreas Kneller","1649"
"Edward Knight","1961"
"Lev Knipper","1898"
"Charles Knox","1929"
"Sebastian Knüpfer","1633"
"Oliver Knussen","1952"
"Marcelo Koc","1918"
"Miklós Kocsár","1933"
"Zoltán Kodály","1882"
"Charles Koechlin","1867"
"Graeme Koehne","1956"
"Hans von Koessler","1853"
"Jan Koetsier","1911"
"Karl Kohaut","1726"
"Erland von Koch","1910"
"Günter Kochan","1930"
"Ludwig von Köchel","1800"
"Ernesto Köhler","1849"
"Siegfried Köhler","1923"
"Ellis Kohs","1916"
"Joonas Kokkonen","1921"
"Walter Kollo","1878"
"Pierre Kolp","1969"
"Karel Komzák I","1823"
"Karel Komzák II","1850"
"Koji Kondo","1960"
"Johann Balthasar König","1691"
"Servaes de Koninck","1654"
"Anders Koppel","1947"
"Herman David Koppel","1908"
"Karel Blažej Kopřiva","1756"
"Václav Jan Kopřiva","1708"
"Nikolai Korndorf","1947"
"Erich Wolfgang Korngold","1897"
"Viktor Kosenko","1896"
"Hans Kotter","1485"
"Jason Kouchak","1967"
"Leopold Kozeluch","1747"
"Marjan Kozina","1907"
"Pylyp Kozytskiy","1893"
"Antonín Kraft","1749"
"William Kraft","1923"
"Mathilde Kralik","1857"
"Hans Krása","1899"
"Joseph Martin Kraus","1756"
"Jaroslav Krček","1939"
"Johann Ludwig Krebs","1713"
"Johann Tobias Krebs","1690"
"Fritz Kreisler","1875"
"Ernst Krenek","1900"
"Franz Krenn","1818"
"Conradin Kreutzer","1780"
"Rodolphe Kreutzer","1766"
"Adam Krieger","1634"
"Johann Philipp Krieger","1649"
"Johann Krieger","1651"
"Rohan Kriwaczek","1968"
"Franz Krommer","1759"
"Jean-Baptiste Krumpholz","1742"
"Gail Kubik","1914"
"Jan Křtitel Kuchař","1751"
"Joseph Küffner","1776"
"Friedrich Kuhlau","1786"
"Johann Kuhnau","1660"
"Gerd Kühr","1952"
"August Kühnel","1645"
"Jarosław Kukulski","1944"
"Theodor Kullak","1818"
"Eduard Künneke","1885"
"Andreas Kunstein","1967"
"F.L.Æ. Kunzen","1761"
"Robert Kurka","1921"
"Karol Kurpiński","1785"
"György Kurtág","1926"
"Johann Sigismund Kusser","1660"
"Toivo Kuula","1883"
"Elisabeth Kuyper","1877"
"Larysa Kuzmenko","1956"
"Otomar Kvěch","1950"
"Michel de La Barre","1675"
"Louis de La Coste","1675"
"Adrien de La Fage","1801"
"Nicolas de La Grotte","1530"
"Élisabeth Jacquet de La Guerre","1659"
"George de La Hèle","1547"
"Alfred La Liberté","1882"
"John La Montaine","1920"
"Frank La Rocca","1951"
"Pierre de La Rue","1452"
"Théodore Labarre","1805"
"Marcel Labey","1875"
"Helmut Lachenmann","1935"
"Carl Lachmund","1853"
"Franz Lachner","1803"
"Ignaz Lachner","1807"
"Ludwig Wenzel Lachnith","1746"
"Louis Lacombe","1818"
"Paul Lacome","1838"
"Bernard Germain de Lacépède","1756"
"Ezra Laderman","1924"
"Paul Ladmirault","1877"
"Lori Laitman","1955"
"László Lajtha","1892"
"Édouard Lalo","1823"
"José Ángel Lamas","1775"
"Joseph Lamb","1887"
"Walter Lambe","1450"
"Charles Lucien Lambert","1828"
"Constant Lambert","1905"
"Michel Lambert","1610"
"Joan Lamote de Grignon","1872"
"Ricard Lamote de Grignon","1899"
"John Frederick Lampe","1703"
"John Lanchbery","1923"
"Siegfried Landau","1921"
"Stefano Landi","1586"
"Francesco Landini","1325"
"Marcel Landowski","1915"
"Guillaume Landré","1905"
"Lutz Landwehr von Pragenau","1963"
"Benjamin Johnson Lang","1837"
"Bernhard Lang","1957"
"David Lang","1957"
"Hans Lang","1897"
"Hans Lang","1908"
"István Láng","1933"
"Klaus Lang","1971"
"Margaret Ruthven Lang","1867"
"Peter Erasmus Lange-Müller","1850"
"Rued Langgaard","1893"
"Jean Langlais","1907"
"Honoré Langlé","1741"
"Nicholas Lanier","1588"
"Colinet de Lannoy","1476"
"Daniel Lanois","1951"
"Paul Lansky","1944"
"Arnold de Lantins","1423"
"Hugo de Lantins","1420"
"Raimond Lap","1959"
"André Laporte","1931"
"Isidore de Lara","1858"
"Thomas Larcher","1963"
"Patrick Larley","1951"
"Libby Larsen","1950"
"Lars-Erik Larsson","1908"
"Eduard Lassen","1830"
"Orlande de Lassus","1532"
"William P. Latham","1917"
"Gaetano Latilla","1711"
"Jean de Latre","1505"
"Felice Lattuada","1882"
"Ken Lauber","1941"
"Wolff Jakob Lauffensteiner","1676"
"Armas Launis","1884"
"Morten Lauridsen","1943"
"Franz Lauska","1764"
"Elodie Lauten","1950"
"Angelo Francesco Lavagnino","1909"
"Calixa Lavallée","1842"
"Nikolaos Lavdas","1879-940"
"Lewis Henry Lavenu","1818"
"Mario Lavista","1943"
"Marc Lavry","1903"
"Henry Lawes","1595"
"William Lawes","1602"
"Donald Lawrence","1961"
"Francesco de Layolle","1492"
"Filip Lazăr","1894"
"Henri Lazarof","1932"
"Sylvio Lazzari","1857"
"Simon Le Duc","1742"
"Paul Le Flem","1881"
"Dorian Le Gallienne","1915"
"Claude Le Jeune","1528"
"Gaspard Le Roux","1660"
"Adrian Le Roy","1520"
"Jean-François Le Sueur","1760"
"Nicolas Lebègue","1631"
"Firmin Lebel","1540"
"Francesca Lebrun","1756"
"Ludwig August Lebrun","1752"
"Paul-Henri-Joseph Lebrun","1863"
"Jean-Marie Leclair","1697"
"Jean-Marie Leclair the younger","1703"
"Alexandre Charles Lecocq","1832"
"Ernesto Lecuona","1895"
"George Alexander Lee","1802"
"Noël Lee","1924"
"Thomas Oboe Lee","1945"
"Benjamin Lees","1924"
"Reinbert de Leeuw","1938"
"Ton de Leeuw","1926"
"Nicola Frances LeFanu","1947"
"Charles-Edouard Lefebvre","1843"
"Louis James Alfred Lefébure-Wély","1817"
"Jean-Xavier Lefèvre","1763"
"Vic Legley","1915"
"Luigi Legnani","1790"
"Michel Legrand","1932"
"Guillaume Legrant","1405"
"Johannes Legrant","1420"
"Giovanni Legrenzi","1626"
"Joseph Legros","1739"
"Franz Lehár","1870"
"Liza Lehmann","1862"
"Leonard Lehrman","1949"
"Franz Lehrndorfer","1928"
"Jerry Leiber","1933"
"René Leibowitz","1913"
"Jón Leifs","1899"
"Walter Leigh","1905"
"Kenneth Leighton","1929"
"William Leighton","1565"
"Guillaume Lekeu","1870"
"Edwin Lemare","1866"
"Lorenz Lemlin","1495"
"Jacques-Nicolas Lemmens","1823"
"Jean-Baptiste Lemoyne","1751"
"Erwin Lendvai","1882"
