"Composer","DOB"
"Leopold Auer","1845"
"Lera Auerbach","1973"
"Marianna Auenbrugger","1759"
"Josepha Barbara Auernhammer","1758"
"May Aufderheide","1888"
"Benedikt Anton Aufschnaiter","1665"
"Rafał Augustyn","1951"
"Pietro Auletta","1698"
"Tor Aulin","1866"
"Valborg Aulin","1860"
"Georges Auric","1899"
"Dorothea Austin","1921"
"Elizabeth R. Austin","1938"
"Frederic Austin","1872"
"Larry Austin","1930"
"Charles Avison","1709"
"Giuseppe Avitrano","1670"
"Pedro António Avondano","1714"
"Ana-Maria Avram","1961"
"Slavko Avsenik","1929"
"Aaron Avshalomov","1894"
"Jacob Avshalomov","1919"
"Daniel Ayala Pérez","1906"
"Hector Ayala","1914"
"Nat Ayer","1887"
"Florence Aylward","1862"
"Frederick Ayres","1876"
"Artemi Ayvazyan","1902"
"Svitlana Azarova","1976"
"Filippo Azzaiolo","1557"
"Heidi Baader-Nobs","1940"
"Øystein Baadsvik","1966"
"Kees van Baaren","1906"
"Arno Babajanian","1921"
"Milton Babbitt","1916"
"William Babell","1689"
"Stanley Babin","1932"
"Luis Enríquez Bacalov","1933"
"Salvador Bacarisse","1898"
"Grażyna Bacewicz","1909"
"Carl Philipp Emanuel Bach","1714"
"Erik Bach","1946"
"Georg Christoph Bach","1642"
"Gottfried Heinrich Bach","1724"
"Heinrich Bach","1615"
"Jan Bach","1937"
"Carlos Berlanga","1959"
"Johann Bernhard Bach","1676"
"Johann Bernhard Bach","1700"
"Johann Christian Bach","1735"
"Johann Christoph Bach","1642"
"Johann Christoph Friedrich Bach","1732"
"Johann Ernst Bach","1722"
"Johann Lorenz Bach","1695"
"Johann Ludwig Bach","1677"
"Johann Michael Bach","1648"
"Johann Nicolaus Bach","1669"
"Johann Sebastian Bach","1685"
"Maria Bach","1896"
"Wilhelm Friedemann Bach","1710"
"Wilhelm Friedrich Ernst Bach","1759"
"Burt Bacharach","1928"
"Francis Edward Bache","1833"
"Daniel Bacheler","1572"
"Alfred Bachelet","1864"
"Sven-Erik Bäck","1919"
"Agathe Backer-Grøndahl","1847"
"Fridtjof Backer-Grøndahl","1885"
"Johann Georg Heinrich Backofen","1768"
"Ernst Bacon","1898"
"Nicolas Bacri","1961"
"Rosa Giacinta Badalla","1660"
"Tekla Bądarzewska-Baranowska","1834"
"Klaus Badelt","1967"
"Baden Powell de Aquino","1937"
"Carlo Agostino Badia","1672"
"Maya Badian","1945"
"Henk Badings","1907"
"Heinrich Baermann","1784"
"Vera Baeva","1930"
"Carlos Baguer","1768"
"Junsang Bahk","1937"
"Judith Margaret Bailey","1941"
"Pierre Baillot","1771"
"Colette Bailly","1930"
"Giuseppe Baini","1775"
"Edgar Bainton","1880"
"Tadeusz Baird","1928"
"Edward Bairstow","1874"
"Claude Baker","1948"
"David Baker","1931"
"George C. Baker","1951"
"Bálint Bakfark","1526"
"Ruth Bakke","1947"
"Leonardo Balada","1933"
"Osvaldas Balakauskas","1937"
"Mily Balakirev","1837"
"Andria Balanchivadze","1906"
"Meliton Balanchivadze","1862"
"Sergey Balasanian","1902"
"Giovanna Bruna Baldacci","1886"
"Claude Balbastre","1724"
"Pietro Baldassare","1683"
"João José Baldi","1770"
"Michael William Balfe","1808"
"Jean Balissat","1936"
"Hank Ballard","1936"
"Robert Ballard","1575"
"Carl Christian Nicolaj Balle","1806"
"Esther Ballou","1915"
"Ernő Balogh","1897"
"Puchi Balseiro","1926"
"Thomas Baltzar","1631"
"Troy Banarzi","1972"
"Adriano Banchieri","1568"
"Gilbert Banester","1430"
"Raffaello de Banfield","1922"
"John Banister","1625"
"Don Banks","1923"
"Tommy Banks","1936"
"Tony Banks","1950"
"Harald Banter","1930"
"Granville Bantock","1868"
"Seymour Barab","1921"
"Krešimir Baranović","1894"
"Barbara of Portugal","1711"
"Bartolomeo Barbarino","1568"
"Helmut Barbe","1927"
"Emanuele Barbella","1718"
"Samuel Barber","1910"
"Mansi Barberis","1899"
"Francisco Asenjo Barbieri","1823"
"Jacobus Barbireau","1455"
"Cacilda Borges Barbosa","1914"
"Josef Bardanashvili","1948"
"Agustín Bardi","1884"
"Jason Bare","1975"
"Woldemar Bargiel","1828"
"Zbigniew Bargielski","1937"
"Antonino Barges","1547"
"Sabine Baring-Gould","1834"
"Alexandre Barjansky","1883"
"Vytautas Barkauskas","1931"
"Warren Barker","1923"
"Elaine Barkin","1932"
"Clarence Barlow","1945"
"Wayne Barlow","1912"
"Charlotte Alington Barnard","1830"
"Joseph Barnby","1838"
"Christian Barnekow","1837"
"Milton Barnes","1931"
"Alice Barnett","1886"
"Carol E Barnett","1949"
"Charles Lloyd Barnhouse","1865"
"Ethel Barns","1874"
"Ernst Gottlieb Baron","1696"
"Leonora Baroni","1611"
"Jean Barraqué","1928"
"Carmen Barradas","1888"
"Elsa Barraine","1910"
"Henry Barraud","1900"
"Richard Barrett","1959"
"Gisèle Barreau","1948"
"Françoise Barrière","1944"
"Jean Barrière","1707"
"Agustín Barrios","1885"
"Ángel Barrios","1882"
"Bebe Barron","1927"
"José Barros","1915"
"Gerald Barry","1952"
"John Barry","1933"
"Francesco Barsanti","1690"
"Richard Barth","1850"
"Cecilia Maria Barthélemon","1769"
"François Hippolyte Barthélemon","1741"
"Polly Young","1749"
"Riccardo Barthelemy","1869"
"Johan Bartholdy","1853"
"Dave Bartholomew","1920"
"Béla Bartók","1881"
"Bartolino da Padova","1365"
"Angelo Michele Bartolotti","1615"
"Carin Bartosch Edström","1965"
"Leonid Bashmakov","1927"
"Count Basie","1904"
"Adriana Basile","1580"
"Adrien Basin","1457"
"Philippe Basiron","1449"
"Veniamin Basner","1925"
"Francesco Maria Bazzani","1650"
"Giovanni Battista Bassani","1650"
"Orazio Bassani","1570"
"Giovanni Bassano","1558"
"Leslie Bassett","1923"
"Luigi Bassi","1833"
"John Baston","1683"
"Josquin Baston","1542"
"Stanley Bate","1911"
"Liam Bates","1975"
"Thomas Bateson","1570"
"Hubert Bath","1883"
"Dennis Báthory-Kitsz","1949"
"Rhené-Baton","1879"
"Adrian Batten","1591"
"Jonathan Battishill","1738"
"Giorgio Battistelli","1953"
"Carola Bauckholt","1959"
"Marion Bauer","1882"
"Alison Bauld","1944"
"Noel Bauldeweyn","1480"
"Kārlis Baumanis","1835"
"Friedrich Baumfelder","1836"
"Jürg Baur","1918"
"Juan Bautista Plaza","1898"
"Sophie Bawr","1773"
"Arnold Bax","1883"
"Christabel Baxendale","1886"
"François Bayle","1932"
"Marie Emmanuelle Bayon Louis","1746"
"François Bazin","1816"
"Nisar Bazmi","1925"
"Cyprian Bazylik","1535"
"Antonio Bazzini","1818"
"Amy Beach","1867"
"Robert Beadell","1925"
"Sally Beamish","1956"
"Robert Beaser","1954"
"Janet Beat","1937"
"Betty Beath","1932"
"Beatritz de Dia","1200"
"Pierre Beauchamp","1631"
"Balthasar de Beaujoyeulx","1587"
"Jean-Jacques Beauvarlet-Charpentier","1734"
"Jack Beaver","1900"
"Gilbert Bécaud","1927"
"Marguerite Béclard d'Harcourt","1884"
"Giuseppe Becce","1877"
"Gustavo Becerra-Schmidt","1925"
"Sidney Bechet","1897"
"Conrad Beck","1901"
"Franz Ignaz Beck","1734"
"Jeremy Beck","1960"
"Albert Becker","1834"
"Dietrich Becker","1623"
"Hugo Becker","1863"
"Jean Becker","1833"
"John J. Becker","1886"
"Walter Beckett","1914"
"Max Beckschäfer","1952"
"John Beckwith","1927"
"David Bedford","1937"
"Norma Beecroft","1934"
"Joseph Beer","1744"
"Joseph Beer","1908"
"Max Josef Beer","1851"
"Jack Beeson","1921"
"Ludwig van Beethoven","1770"
"Sonja Beets","1953"
"Eve Beglarian","1958"
"Anđelka Bego-Šimunić","1941"
"Franz Behr","1837"
"Jeanne Behrend","1912"
"David Behrman","1937"
"Bix Beiderbecke","1903"
"Jeanne Beijerman-Walraven","1878"
"Carl Beines","1869"
"Jean-Pascal Beintus","1966"
"Sadao Bekku","1922"
"Luca Belcastro","1964"
"Supply Belcher","1751"
"Laurent Belissen","1693"
"William Henry Bell","1873"
"Ján Levoslav Bella","1843"
